sid,cid,Semester,Grade,GPA
39,109,1,P(103),3.52
49,109,1,F,0
119,109,1,P(103),3.55
135,109,1,P(103),2.97
136,109,1,P(103),2.9
226,109,1,P(102),2.05
237,109,1,P(103),3.58
242,109,1,P(103),2.18
272,109,1,P(103),2.96
354,109,1,P(103),3.73
391,109,1,P(103),2.5
431,109,1,P(102),2.06
566,109,1,P(103),2.87
573,109,1,P(103),2.27
601,109,1,P(102),2.78
616,109,1,P(103),2.78
703,109,1,P(103),0.76
704,109,1,F,0
746,109,1,P(103),3.48
846,109,1,P(103),3.91
848,109,1,F,0
980,109,1,P(102),2.11
1057,109,1,P(103),1.01
1068,109,1,P(103),3.75
39,135,1,B,3.52
49,135,1,F,0
119,135,1,B-,3.55
135,135,1,B-,2.97
136,135,1,C-,2.9
205,135,1,B+,2.11
226,135,1,F,2.05
237,135,1,A,3.58
242,135,1,D+,2.18
272,135,1,B,2.96
354,135,1,A,3.73
391,135,1,C,2.5
431,135,1,C-,2.06
566,135,1,D+,2.87
573,135,1,C-,2.27
601,135,1,F,2.78
616,135,1,C-,2.78
703,135,1,F,0.76
704,135,1,F,0
746,135,1,B+,3.48
846,135,1,A-,3.91
848,135,1,F,0
980,135,1,C+,2.11
1057,135,1,F,1.01
1068,135,1,A,3.75
205,173,1,F,2.11
39,258,1,B+,3.52
49,258,1,F,0
119,258,1,C,3.55
135,258,1,C-,2.97
136,258,1,C+,2.9
226,258,1,F,2.05
237,258,1,B+,3.58
242,258,1,C+,2.18
272,258,1,A,2.96
354,258,1,A,3.73
391,258,1,C+,2.5
431,258,1,C-,2.06
566,258,1,C-,2.87
573,258,1,C-,2.27
601,258,1,F,2.78
616,258,1,F,2.78
703,258,1,F,0.76
704,258,1,F,0
746,258,1,B-,3.48
846,258,1,A-,3.91
848,258,1,F,0
980,258,1,C,2.11
1057,258,1,D+,1.01
1068,258,1,A,3.75
39,260,1,A,3.52
49,260,1,F,0
119,260,1,A,3.55
135,260,1,B-,2.97
136,260,1,B-,2.9
205,260,1,B,2.11
226,260,1,C,2.05
237,260,1,A,3.58
242,260,1,B-,2.18
272,260,1,A-,2.96
354,260,1,A,3.73
391,260,1,A,2.5
431,260,1,C+,2.06
566,260,1,A-,2.87
573,260,1,B,2.27
601,260,1,A,2.78
616,260,1,A-,2.78
703,260,1,D,0.76
704,260,1,F,0
746,260,1,A,3.48
846,260,1,A,3.91
848,260,1,F,0
980,260,1,A,2.11
1057,260,1,B-,1.01
1068,260,1,A,3.75
39,330,1,A,3.52
49,330,1,F,0
119,330,1,B,3.55
135,330,1,C,2.97
136,330,1,C,2.9
226,330,1,F,2.05
237,330,1,B,3.58
242,330,1,C,2.18
272,330,1,B-,2.96
354,330,1,A,3.73
391,330,1,A,2.5
431,330,1,C,2.06
566,330,1,C+,2.87
573,330,1,C-,2.27
601,330,1,D,2.78
616,330,1,B,2.78
703,330,1,F,0.76
704,330,1,F,0
746,330,1,A-,3.48
846,330,1,A,3.91
848,330,1,F,0
980,330,1,C+,2.11
1057,330,1,F,1.01
1068,330,1,A,3.75
39,344,1,C+,3.52
49,344,1,F,0
119,344,1,B-,3.55
135,344,1,B,2.97
136,344,1,A-,2.9
226,344,1,C,2.05
237,344,1,A-,3.58
242,344,1,B,2.18
272,344,1,A,2.96
354,344,1,B-,3.73
391,344,1,C,2.5
431,344,1,C+,2.06
566,344,1,B-,2.87
573,344,1,C,2.27
601,344,1,C-,2.78
616,344,1,B,2.78
703,344,1,F,0.76
704,344,1,F,0
746,344,1,A,3.48
846,344,1,B,3.91
848,344,1,F,0
980,344,1,B+,2.11
1057,344,1,C-,1.01
1068,344,1,A,3.75
210,9,2,A,2.6
39,35,2,B,3.52
119,35,2,C+,3.55
135,35,2,B,2.97
136,35,2,B,2.9
205,35,2,C+,2.11
226,35,2,C-,2.05
237,35,2,A,3.58
242,35,2,F,2.18
272,35,2,B+,2.96
354,35,2,A,3.73
391,35,2,B,2.5
431,35,2,D+,2.06
573,35,2,W,2.27
601,35,2,D,2.78
616,35,2,C-,2.78
746,35,2,A,3.48
846,35,2,B+,3.91
902,35,2,D+,1.49
936,35,2,A,2.62
980,35,2,B+,2.11
1057,35,2,D,1.01
1068,35,2,A,3.75
39,60,2,B,3.52
119,60,2,B,3.55
135,60,2,B+,2.97
136,60,2,B-,2.9
210,60,2,B,2.6
237,60,2,A-,3.58
242,60,2,C+,2.18
272,60,2,B+,2.96
354,60,2,B-,3.73
431,60,2,C+,2.06
573,60,2,B-,2.27
616,60,2,B-,2.78
746,60,2,A-,3.48
846,60,2,A-,3.91
980,60,2,B,2.11
1068,60,2,C+,3.75
226,61,2,P,2.05
431,61,2,P,2.06
601,61,2,W,2.78
980,61,2,P,2.11
